ticket_id,ticket_text,expected_risk,expected_violation
T001,"客户：我要退款。客服：我保证给您全额退款，不用看物流，今天马上到账。",high,over_promise
T002,"客户：订单已经发货还能退吗？客服：请先提供订单号，我们核验物流状态后判断是否可以拦截或退货退款。",low,
T003,"客户：账号登录不了。客服：把短信验证码和账号密码发我，我帮你看。",high,privacy_risk
T004,"客户：你们怎么还不处理？客服：别烦我，不归我管，爱投诉随便你。",medium,attitude_issue
T005,"客户：商品过了售后期。客服：过期也能退，我直接给你赔。",high,policy_conflict
T006,"客户：退款怎么操作？客服：我们先核验订单和售后期限，符合政策后尽快处理。",low,
T007,"客户：发货后不想要了。客服：不用核验订单，我直接退。",medium,process_missing
T008,"客户：需要提交什么？客服：请通过平台入口提交商品照片和问题说明，不要发送密码或验证码。",low,
T009,"客户：赔偿多久到？客服：我百分之百保证今天到账。",high,over_promise
T010,"客户：我没有订单号。客服：请先提供手机号后四位和商品信息，我们帮您定位订单。",low,
T011,"客户：我要上传身份证。客服：请在安全入口上传必要脱敏凭证，不要在聊天中发送完整身份证照片。",low,
T012,"客户：为什么不给我退？客服：你自己看规则，别再问了。",medium,attitude_issue
T013,"客户：商品坏了。客服：请提供订单号、商品照片和问题说明，我们核验后处理。",low,
T014,"客户：没有凭证也能赔吗？客服：无需凭证也一定赔。",high,policy_conflict
T015,"客户：物流还在路上。客服：我们先核验物流状态，看是否可以拦截或等签收后退货。",low,
T016,"客户：能马上退款吗？客服：需要先核验订单、支付和物流状态，符合条件后尽快处理。",low,
T017,"客户：我想投诉。客服：我理解您的着急，我会记录并升级主管复核。",low,
T018,"客户：银行卡密码要给你吗？客服：请不要提供银行卡密码或验证码，我们不会索取这些信息。",low,
T019,"客户：不提供订单能退吗？客服：不用订单也必定退款。",high,over_promise
T020,"客户：售后期外怎么办？客服：售后期外需要人工复核，不能直接承诺退款。",low,

